#TYPE Selected.System.Management.Automation.PSCustomObject
"Title";"Link"
"Conversation Coming soon!  All Microsoft Ignite Session Discussions in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/Coming-soon-All-Microsoft-Ignite-Session-Discussions/m-p/8629#M1"
"Conversation THR2026 - Get engaged with Skype for Business preview (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/THR2026-Get-engaged-with-Skype-for-Business-preview-Microsoft/m-p/9364#M2"
"Conversation BRK1000 - Discover how Accenture &amp; Time Warner manage their hybrid environments today in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1000-Discover-how-Accenture-amp-Time-Warner-manage-their/m-p/9382#M3"
"Conversation BRK3197 - Find out everything you wanted to know about SHA-1 to SHA-2 migrations (Microsoft Ignite) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3197-Find-out-everything-you-wanted-to-know-about-SHA-1-to/m-p/9383#M4"
"Conversation BRK3198 - Review Windows Server 2016 - the Cloud OS optimized for DevOps (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3198-Review-Windows-Server-2016-the-Cloud-OS-optimized-for/m-p/9384#M5"
"Conversation BRK1001 - Maximize your Office 365 administration: tips and tricks (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1001-Maximize-your-Office-365-administration-tips-and-tricks/m-p/9387#M6"
"Conversation BRK2240 - Review Office 365 release, change, and communication in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2240-Review-Office-365-release-change-and-communication/m-p/9388#M7"
"Conversation BRK3199 - Access intelligence in the Microsoft Graph and API (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3199-Access-intelligence-in-the-Microsoft-Graph-and-API/m-p/9390#M8"
"Conversation BRK1002 - Develop a technology strategy for an inclusive workplace (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1002-Develop-a-technology-strategy-for-an-inclusive-workplace/m-p/9392#M9"
"Resource Not Found";"/gxcuf89792/rss/message"
"Conversation BRK1003 - Explore accessibility in Office 365: plans and progress (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1003-Explore-accessibility-in-Office-365-plans-and-progress/m-p/9400#M11"
"Conversation BRK3201 - Explore SQL Server FastTrack Data Warehouse (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3201-Explore-SQL-Server-FastTrack-Data-Warehouse-Microsoft/m-p/9404#M12"
"Conversation BRK3202 - Build and maintain applications with Azure Resource Manager (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3202-Build-and-maintain-applications-with-Azure-Resource/m-p/9410#M13"
"Conversation BRK3203 - Manage and control your applications with Microsoft Azure Resource Manager in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3203-Manage-and-control-your-applications-with-Microsoft/m-p/9416#M14"
"Conversation BRK1004 - Learn about the future of Microsoft PPM (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK1004-Learn-about-the-future-of-Microsoft-PPM-Microsoft-Ignite/m-p/9421#M15"
"Conversation BRK3204 - Design modern microservice applications on Microsoft Azure Service Fabric in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3204-Design-modern-microservice-applications-on-Microsoft/m-p/9422#M16"
"Conversation BRK3205 - Master modern PaaS for the Enterprise with Azure App Service in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3205-Master-modern-PaaS-for-the-Enterprise-with-Azure-App/m-p/9423#M17"
